SampleID,Predictions
V4-V0,1
V21-V15,1
V0-V11,1
V0-V9,1
V0-V7,1
V0-V2,1
V0-V15,1
V9-V11,1
V9-V20,1
V7-V1,1
V7-V18,1
V20-V5,1
V2-V5,1
V2-V13,1
V2-V14,1
V17-V19,1
V17-V1,1
V15-V11,1
V14-V12,1
V14-V16,1
V19-V11,1
V16-V10,1
V12-V5,1
V1-V10,1
